Query_ID	Query
209	what OR are OR the OR physical OR significance OR and OR characteristics OR of OR separated OR laminar OR and OR turbulent OR boundary OR layer OR flows
210	has OR anyone OR analytically OR investigated OR the OR stabilizing OR influence OR of OR soft OR elastic OR cores OR on OR the OR buckling OR strength OR of OR cylindrical OR shells OR subjected OR to OR non OR uniform OR external OR pressure
211	what OR papers OR are OR available OR on OR the OR buckling OR of OR empty OR cylindrical OR shells OR under OR non OR uniform OR pressure
212	what OR effect OR do OR thermal OR stresses OR have OR on OR the OR compressive OR buckling OR strength OR of OR ring OR stiffened OR cylinders
213	what OR is OR the OR effect OR on OR cylinder OR buckling OR of OR a OR circumferential OR stress OR system OR that OR varies OR in OR the OR axial OR direction
214	can OR non OR linear OR shallow OR shell OR analysis OR be OR reduced OR to OR an OR engineering OR technique OR by OR use OR of OR the OR matrix
216	what OR investigations OR have OR been OR made OR of OR the OR wave OR system OR created OR by OR a OR static OR pressure OR distribution OR over OR a OR liquid OR surface
217	has OR anyone OR investigated OR the OR effect OR of OR shock OR generated OR vorticity OR on OR heat OR transfer OR to OR a OR blunt OR body
218	what OR is OR the OR heat OR transfer OR to OR a OR blunt OR body OR in OR the OR absence OR of OR vorticity
219	what OR are OR the OR general OR effects OR on OR flow OR fields OR when OR the OR reynolds OR number OR is OR small
220	find OR a OR calculation OR procedure OR applicable OR to OR all OR incompressible OR laminar OR boundary OR layer OR flow OR problems OR having OR good OR accuracy OR and OR reasonable OR computation OR time
221	papers OR applicable OR to OR this OR problem OR calculation OR procedures OR for OR laminar OR incompressible OR flow OR with OR arbitrary OR pressure OR gradient
222	has OR anyone OR investigated OR the OR shear OR buckling OR of OR stiffened OR plates
223	papers OR on OR shear OR buckling OR of OR unstiffened OR rectangular OR plates OR under OR shear
224	in OR practice OR how OR close OR to OR reality OR are OR the OR assumptions OR that OR the OR flow OR in OR a OR hypersonic OR shock OR tube OR using OR nitrogen OR is OR non OR viscous OR and OR in OR thermodynamic OR equilibrium
225	what OR design OR factors OR can OR be OR used OR to OR control OR lift OR drag OR ratios OR at OR mach OR numbers OR above OR 5
